,level_0,index,Postcode district,Neighborhood,Borough,Latitude,Longitude
0,0,0,E1,"Eastern head district: Aldgate (part), Bishopsgate (part), Whitechapel, Shoreditch (part), Spitalfields, Shadwell, Limehouse, Stepney, Mile End (part), Portsoken","Tower Hamlets, Hackney, City of London",51.51766,-0.058410000000000004
1,1,1,E1W,"Wapping, St Katharine Docks, Stepney (part), Shadwell (part), Whitechapel (part)",Tower Hamlets,51.50775,-0.05739
2,2,2,E2,"Bethnal Green district: Bethnal Green, Haggerston, Hoxton (part), Shoreditch (part), Cambridge Heath, Globe Town, Shoreditch (part)","Tower Hamlets, Hackney",51.52939,-0.0608
3,3,3,E3,"Bow district: Bow, Bow Common, Bromley-by-Bow, Old Ford, Mile End (part), Fish Island, Hackney Wick (part), South Bromley, Mill Meads (part)","Tower Hamlets, Newham",51.52789,-0.02482
4,4,4,E4,"Chingford district: Chingford, Sewardstone, Highams Park, Upper Edmonton (part), Woodford Green (part)","Waltham Forest, Enfield, Epping Forest (Essex)",51.621959999999994,-0.00339
5,5,5,E5,"Clapton district: Leyton (Part), Upper Clapton, Lower Clapton, Stoke Newington (part)","Hackney, Waltham Forest",51.55893,-0.052329999999999995
6,6,6,E6,"East Ham district: East Ham, Beckton, Upton Park (part), Barking (part)","Newham, Barking and Dagenham",51.5256,0.05583
7,7,7,E7,"Forest Gate district: Forest Gate, Leytonstone (Part), Stratford (part)","Newham, Waltham Forest",51.54678,0.02793
8,8,8,E8,"Hackney district: Hackney Central, Dalston, London Fields, Stoke Newington (part)",Hackney,51.54202,-0.06315
9,9,9,E9,"Homerton district: Homerton, Hackney Wick, South Hackney, Hackney Marshes, Victoria Park","Hackney, Tower Hamlets",51.54258,-0.04293
10,10,10,E10,"Leyton district: Leyton, Temple Mills, Hackney Marshes (part) Upper Clapton (part), Walthamstow Marshes","Waltham Forest, Hackney",51.56814,-0.01153
11,11,11,E11,"Leytonstone district: Leytonstone, Wanstead, Aldersbrook (part), Snaresbrook, Cann Hall","Waltham Forest, Redbridge",51.56769,0.014430000000000002
12,12,12,E12,"Manor Park district: Manor Park, Little Ilford, Aldersbrook (part)","Newham, Redbridge",51.54992,0.05404
13,13,13,E13,"Plaistow district: Plaistow, West Ham (part), Upton Park (part)",Newham,51.527,0.02705
14,14,14,E14,"Poplar district: Poplar, Isle of Dogs, Limehouse, Canary Wharf, Millwall, Blackwall, Cubitt Town, South Bromley, North Greenwich, Leamouth",Tower Hamlets,51.5062,-0.01855
15,15,15,E15,"Stratford district: Stratford, West Ham (part), Maryland, Leyton (part), Leytonstone (part) Temple Mills (part), Hackney Wick (part), Bow (part)","Newham, Waltham Forest, Hackney, Tower Hamlets",51.53911,0.00307
16,16,16,E16,"Victoria Docks and North Woolwich district: Canning Town, Silvertown, Royal Docks, North Woolwich, Beckton (part), Custom House",Newham,51.51083,0.026330000000000003
17,17,17,E17,"Walthamstow district: Walthamstow, Upper Walthamstow, Leyton (part)",Waltham Forest,51.58623,-0.01796
18,18,18,E18,"Woodford and South Woodford district: Woodford, South Woodford",Redbridge,51.59176,0.02705
19,19,19,E20,"Olympic Park district: Olympic Park, & parts of Stratford, Homerton, Leyton, Bow;","Newham, Waltham Forest, Hackney, Tower Hamlets",51.538610999999996,-0.016388999999999997
20,22,22,EC1A,St Bartholomew's Hospital,"City of London, Islington",51.52019,-0.10300000000000001
21,23,23,EC1M,"Clerkenwell, Farringdon","Islington, Camden, City of London",51.52106,-0.10152
22,24,24,EC1N,Hatton Garden,"Camden, City of London",51.52026,-0.10732
23,25,26,EC1R,"Finsbury, Finsbury Estate (west)","Islington, Camden",51.52475,-0.10712999999999999
24,26,27,EC1V,"Finsbury (east), Moorfields Eye Hospital","Islington, Hackney",51.525490000000005,-0.09701
25,27,28,EC1Y,"St Luke's, Bunhill Fields","Islington, City of London",51.52272,-0.0928
26,28,29,EC2A,Shoreditch,"Islington, Hackney, City of London",51.5226,-0.0856
27,29,30,EC2M,"Broadgate, Liverpool Street",Tower Hamlets,51.51811,-0.08578
28,30,31,EC2N,"Old Broad Street, Tower 42",City of London,51.51631,-0.08586
29,31,33,EC2R,Bank of England,City of London,51.5164,-0.09162000000000001
30,32,34,EC2V,Guildhall,City of London,51.51553,-0.0931
31,33,35,EC2Y,Barbican,City of London,51.520070000000004,-0.09579
32,34,36,EC3A,"St Mary Axe, Aldgate",City of London,51.51534,-0.08158
33,35,37,EC3M,"Lloyd's of London, Fenchurch Street",City of London,51.51267,-0.08313
34,36,38,EC3N,"Tower Hill, Tower of London","Tower Hamlets, City of London",51.5126,-0.07881
35,37,40,EC3R,"Monument, Billingsgate",City of London,51.511790000000005,-0.08461
36,38,41,EC3V,"Cornhill, Gracechurch Street, Lombard Street",City of London,51.51361,-0.08597
37,39,42,EC4A,Fetter Lane,"City of London, Westminster",51.51576,-0.10751
38,40,43,EC4M,St Paul's,City of London,51.51475,-0.10034
39,41,44,EC4N,Mansion House,City of London,51.51463,-0.09314
40,42,46,EC4R,Cannon Street,City of London,51.51191,-0.09181
41,43,47,EC4V,Blackfriars,City of London,51.51293,-0.09897
42,44,48,EC4Y,Temple,"City of London, Westminster",51.51397,-0.10758
43,45,50,N1,"Northern head district: Barnsbury (part), Canonbury, Kings Cross, Islington, Pentonville, De Beauvoir Town, Hoxton. Shoreditch (part)","Hackney, Islington, Camden",51.53717,-0.09652000000000001
