,Postcode district,Neighborhood,Borough,Latitude,Longitude
0,E1,"Eastern head district: Aldgate (part), Bishopsgate (part), Whitechapel, Shoreditch (part), Spitalfields, Shadwell, Limehouse, Stepney, Mile End (part), Portsoken","Tower Hamlets, Hackney, City of London",51.51766,-0.058410000000000004
1,E1W,"Wapping, St Katharine Docks, Stepney (part), Shadwell (part), Whitechapel (part)",Tower Hamlets,51.50775,-0.05739
2,E2,"Bethnal Green district: Bethnal Green, Haggerston, Hoxton (part), Shoreditch (part), Cambridge Heath, Globe Town, Shoreditch (part)","Tower Hamlets, Hackney",51.52939,-0.0608
3,E3,"Bow district: Bow, Bow Common, Bromley-by-Bow, Old Ford, Mile End (part), Fish Island, Hackney Wick (part), South Bromley, Mill Meads (part)","Tower Hamlets, Newham",51.52789,-0.02482
4,E4,"Chingford district: Chingford, Sewardstone, Highams Park, Upper Edmonton (part), Woodford Green (part)","Waltham Forest, Enfield, Epping Forest (Essex)",51.621959999999994,-0.00339
5,E5,"Clapton district: Leyton (Part), Upper Clapton, Lower Clapton, Stoke Newington (part)","Hackney, Waltham Forest",51.55893,-0.052329999999999995
6,E6,"East Ham district: East Ham, Beckton, Upton Park (part), Barking (part)","Newham, Barking and Dagenham",51.5256,0.05583
7,E7,"Forest Gate district: Forest Gate, Leytonstone (Part), Stratford (part)","Newham, Waltham Forest",51.54678,0.02793
8,E8,"Hackney district: Hackney Central, Dalston, London Fields, Stoke Newington (part)",Hackney,51.54202,-0.06315
9,E9,"Homerton district: Homerton, Hackney Wick, South Hackney, Hackney Marshes, Victoria Park","Hackney, Tower Hamlets",51.54258,-0.04293
10,E10,"Leyton district: Leyton, Temple Mills, Hackney Marshes (part) Upper Clapton (part), Walthamstow Marshes","Waltham Forest, Hackney",51.56814,-0.01153
11,E11,"Leytonstone district: Leytonstone, Wanstead, Aldersbrook (part), Snaresbrook, Cann Hall","Waltham Forest, Redbridge",51.56769,0.014430000000000002
12,E12,"Manor Park district: Manor Park, Little Ilford, Aldersbrook (part)","Newham, Redbridge",51.54992,0.05404
13,E13,"Plaistow district: Plaistow, West Ham (part), Upton Park (part)",Newham,51.527,0.02705
14,E14,"Poplar district: Poplar, Isle of Dogs, Limehouse, Canary Wharf, Millwall, Blackwall, Cubitt Town, South Bromley, North Greenwich, Leamouth",Tower Hamlets,51.5062,-0.01855
15,E15,"Stratford district: Stratford, West Ham (part), Maryland, Leyton (part), Leytonstone (part) Temple Mills (part), Hackney Wick (part), Bow (part)","Newham, Waltham Forest, Hackney, Tower Hamlets",51.53911,0.00307
16,E16,"Victoria Docks and North Woolwich district: Canning Town, Silvertown, Royal Docks, North Woolwich, Beckton (part), Custom House",Newham,51.51083,0.026330000000000003
17,E17,"Walthamstow district: Walthamstow, Upper Walthamstow, Leyton (part)",Waltham Forest,51.58623,-0.01796
18,E18,"Woodford and South Woodford district: Woodford, South Woodford",Redbridge,51.59176,0.02705
19,E20,"Olympic Park district: Olympic Park, & parts of Stratford, Homerton, Leyton, Bow;","Newham, Waltham Forest, Hackney, Tower Hamlets",51.538610999999996,-0.016388999999999997
20,E77,"Non-geographic postcode district (NatWest, delivers to E1)",Tower Hamlets,51.513948,-0.069129
21,E98,"Non-geographic postcode district (News International, delivers to E1W)",Tower Hamlets,51.513678000000006,-0.060885
22,EC1A,St Bartholomew's Hospital,"City of London, Islington",51.52019,-0.10300000000000001
23,EC1M,"Clerkenwell, Farringdon","Islington, Camden, City of London",51.52106,-0.10152
24,EC1N,Hatton Garden,"Camden, City of London",51.52026,-0.10732
25,EC1P,,non-geographic,51.524503,-0.11208800000000001
26,EC1R,"Finsbury, Finsbury Estate (west)","Islington, Camden",51.52475,-0.10712999999999999
27,EC1V,"Finsbury (east), Moorfields Eye Hospital","Islington, Hackney",51.525490000000005,-0.09701
28,EC1Y,"St Luke's, Bunhill Fields","Islington, City of London",51.52272,-0.0928
29,EC2A,Shoreditch,"Islington, Hackney, City of London",51.5226,-0.0856
30,EC2M,"Broadgate, Liverpool Street",Tower Hamlets,51.51811,-0.08578
31,EC2N,"Old Broad Street, Tower 42",City of London,51.51631,-0.08586
32,EC2P,,non-geographic,51.5167,-0.09356
33,EC2R,Bank of England,City of London,51.5164,-0.09162000000000001
34,EC2V,Guildhall,City of London,51.51553,-0.0931
35,EC2Y,Barbican,City of London,51.520070000000004,-0.09579
36,EC3A,"St Mary Axe, Aldgate",City of London,51.51534,-0.08158
37,EC3M,"Lloyd's of London, Fenchurch Street",City of London,51.51267,-0.08313
38,EC3N,"Tower Hill, Tower of London","Tower Hamlets, City of London",51.5126,-0.07881
39,EC3P,,non-geographic,51.52016,-0.10156
40,EC3R,"Monument, Billingsgate",City of London,51.511790000000005,-0.08461
41,EC3V,"Cornhill, Gracechurch Street, Lombard Street",City of London,51.51361,-0.08597
42,EC4A,Fetter Lane,"City of London, Westminster",51.51576,-0.10751
43,EC4M,St Paul's,City of London,51.51475,-0.10034
44,EC4N,Mansion House,City of London,51.51463,-0.09314
45,EC4P,,non-geographic,51.524503,-0.11208800000000001
46,EC4R,Cannon Street,City of London,51.51191,-0.09181
47,EC4V,Blackfriars,City of London,51.51293,-0.09897
48,EC4Y,Temple,"City of London, Westminster",51.51397,-0.10758
49,EC50,,non-geographic,51.524503,-0.11208800000000001
50,N1,"Northern head district: Barnsbury (part), Canonbury, Kings Cross, Islington, Pentonville, De Beauvoir Town, Hoxton. Shoreditch (part)","Hackney, Islington, Camden",51.53717,-0.09652000000000001
51,N1C,Kings Cross Central,Camden,0.0,0.0
52,N1P,PO boxes in N1 and N1C,non-geographic,51.538425,-0.103278
53,N2,"East Finchley district: East Finchley, Fortis Green, Hampstead Garden Suburb (part)","Barnet, Haringey",51.58957,-0.16797
54,N3,"Finchley district: Finchley, Church End, Finchley Central",Barnet,51.59984,-0.1921
55,N4,"Finsbury Park district: Finsbury Park, Manor House, Harringay (part), Stroud Green","Haringey, Islington, Hackney",51.57052,-0.1009
56,N5,"Highbury district: Highbury, Highbury Fields",Islington,51.55337,-0.09729
57,N6,"Highgate district: Highgate, Hampstead Heath (part)","Camden, Haringey, Islington",51.57116,-0.14129
58,N7,"Holloway district: Holloway, Barnsbury (part), Islington (part), Tufnell Park (part)","Islington, Camden",51.55277,-0.11607
59,N8,"Hornsey district: Hornsey, Crouch End, Harringay (part)","Haringey, Islington",51.58335,-0.11625
60,N9,"Lower Edmonton district: Lower Edmonton, Edmonton (part)",Enfield,51.62825,-0.056589999999999994
61,N10,"Muswell Hill district: Muswell Hill, Friern Barnet (part)","Haringey, Barnet",51.59368,-0.14325
62,N11,"New Southgate district: New Southgate, Friern Barnet, Bounds Green, Arnos Grove (part)","Enfield, Barnet, Haringey",51.61338,-0.13812
63,N12,"North Finchley district: North Finchley, Woodside Park, Friern Barnet (part)",Barnet,51.61487,-0.17561
64,N13,Palmers Green district: Palmers Green,Enfield,51.6191,-0.10176
65,N14,"Southgate district: Southgate, Oakwood, Arnos Grove (part)","Enfield, Barnet",51.63392,-0.1286
66,N15,"South Tottenham district: South Tottenham, Harringay (part), West Green, Seven Sisters",Haringey,51.5819,-0.08166
67,N16,"Stoke Newington district: Stoke Newington, Stamford Hill (part), Shacklewell, Dalston (part), Newington Green (part)","Islington, Hackney",51.5629,-0.07525
68,N17,Tottenham district: Tottenham,Haringey,51.59791,-0.07088
69,N18,"Upper Edmonton district: Upper Edmonton, Edmonton (part)",Enfield,51.61309,-0.06446
70,N19,"Upper Holloway district: Upper Holloway, Archway, Tufnell Park (part)","Islington, Camden",51.564640000000004,-0.12712
71,N20,"Whetstone district: Whetstone, Totteridge, Oakleigh Park",Barnet,51.62923,-0.17359000000000002
72,N21,"Winchmore Hill district: Winchmore Hill, Bush Hill (part), Grange Park, World's End (part)",Enfield,51.63612,-0.09816
73,N22,"Wood Green district: Wood Green, Bounds Green (part), Bowes Park","Haringey, Enfield",51.59944,-0.1098
74,N81,Electoral Reform Services,non-geographic,0.0,0.0
75,NW1,"North Western head district: Marylebone (part), Euston, Regent's Park, Baker Street, Camden Town, Somers Town, Primrose Hill (part) and Lisson Grove (part)","Camden, Westminster",51.53252,-0.14286
76,NW1W,PO boxes in NW1[4],non-geographic,51.530784000000004,-0.13543
77,NW2,"Cricklewood district: Cricklewood, Dollis Hill, Childs Hill, Golders Green (part), Brent Cross (part), Willesden (north), Neasden (north)","Barnet, Brent, Camden",51.557970000000005,-0.21829
78,NW3,"Hampstead district: Hampstead, Belsize Park, Frognal, Childs Hill (east), South Hampstead (north), Swiss Cottage (east), Primrose Hill (north), Chalk Farm (west), Gospel Oak","Camden, Barnet",51.551840000000006,-0.17093
79,NW4,"Hendon district: Hendon, Brent Cross (part)",Barnet,51.58682,-0.22294
80,NW5,"Kentish Town district: Kentish Town, Camden Town (part), Gospel Oak (part), Dartmouth Park, Chalk Farm (east), Tufnell Park (west)","Camden, Islington",51.551390000000005,-0.14209000000000002
81,NW6,"Kilburn district: Kilburn, Brondesbury, West Hampstead, Queen's Park, Kensal Green (part), South Hampstead (south), Swiss Cottage (west)","Brent, Camden, Westminster",51.54142,-0.19442
82,NW7,"Mill Hill district: Mill Hill, Arkley (part), Edgware (part)",Barnet,51.61488,-0.23484000000000002
83,NW8,"St John's Wood district: St John's Wood, Primrose Hill (south), Marylebone (north), Lisson Grove (north)","Westminster, Camden",51.53117,-0.17175
84,NW9,"The Hyde district: The Hyde, Colindale, Kingsbury, West Hendon, Wembley Park (part), Queensbury (part)","Barnet, Brent, Harrow",51.5864,-0.25472
85,NW10,"Willesden district: Willesden, Harlesden, Kensal Green, Brent Park, College Park, Stonebridge, North Acton (part), West Twyford, Neasden (south), Old Oak Common, Park Royal (north)","Brent, Ealing, Hammersmith and Fulham, Kensington and Chelsea",51.53951,-0.24641
86,NW11,"Golders Green district: Golders Green, Temple Fortune, Hampstead Garden Suburb (west), Hendon (part), Brent Cross (part)",Barnet,51.578309999999995,-0.19584000000000001
87,NW26,PO boxes in NW10[4],non-geographic,0.0,0.0
88,SE1,"South Eastern head district: Bankside, South Bank, Lambeth (part), Southwark, Bermondsey (part), Vauxhall (part), Old Kent Road (part)","Lambeth, Southwark, City of London",51.49838,-0.08949
89,SE1P,,non-geographic,51.492762,-0.080152
90,SE2,"Abbey Wood district: Abbey Wood, West Heath, Crossness, Thamesmead (part), Plumstead (part), Bostall","Bexley, Greenwich",51.48943,0.11759000000000001
91,SE3,"Blackheath district: Blackheath, Kidbrooke, Westcombe Park","Greenwich, Lewisham",51.46866,0.02015
92,SE4,"Brockley district: Brockley, Crofton Park, Ladywell, Telegraph Hill",Lewisham,51.46058,-0.03348
93,SE5,"Camberwell district: Camberwell, Denmark Hill, Peckham, Brixton (part)","Southwark, Lambeth",51.47322,-0.09055
94,SE6,"Catford district: Catford, Bellingham, Hither Green (part), Rushey Green",Lewisham,51.43777,-0.01432
95,SE7,Charlton district: Charlton,Greenwich,51.48369,0.035210000000000005
