Postcode district,Post town,Coverage,Local authority area
N1,LONDON,"Northern head district: Barnsbury (part), Canonbury, Kings Cross, Islington, Pentonville, De Beauvoir Town, Hoxton. Shoreditch (part)","Hackney, Islington, Camden"
N1C,LONDON,Kings Cross Central,Camden
N1P,LONDON,PO boxes in N1 and N1C,non-geographic
N2,LONDON,"East Finchley district: East Finchley, Fortis Green, Hampstead Garden Suburb (part)","Barnet, Haringey"
N3,LONDON,"Finchley district: Finchley, Church End, Finchley Central",Barnet
N4,LONDON,"Finsbury Park district: Finsbury Park, Manor House, Harringay (part), Stroud Green","Haringey, Islington, Hackney"
N5,LONDON,"Highbury district: Highbury, Highbury Fields",Islington
N6,LONDON,"Highgate district: Highgate, Hampstead Heath (part)","Camden, Haringey, Islington"
N7,LONDON,"Holloway district: Holloway, Barnsbury (part), Islington (part), Tufnell Park (part)","Islington, Camden"
N8,LONDON,"Hornsey district: Hornsey, Crouch End, Harringay (part)","Haringey, Islington"
N9,LONDON,"Lower Edmonton district: Lower Edmonton, Edmonton (part)",Enfield
N10,LONDON,"Muswell Hill district: Muswell Hill, Friern Barnet (part)","Haringey, Barnet"
N11,LONDON,"New Southgate district: New Southgate, Friern Barnet, Bounds Green, Arnos Grove (part)","Enfield, Barnet, Haringey"
N12,LONDON,"North Finchley district: North Finchley, Woodside Park, Friern Barnet (part)",Barnet
N13,LONDON,Palmers Green district: Palmers Green,Enfield
N14,LONDON,"Southgate district: Southgate, Oakwood, Arnos Grove (part)","Enfield, Barnet"
N15,LONDON,"South Tottenham district: South Tottenham, Harringay (part), West Green, Seven Sisters",Haringey
N16,LONDON,"Stoke Newington district: Stoke Newington, Stamford Hill (part), Shacklewell, Dalston (part), Newington Green (part)","Islington, Hackney"
N17,LONDON,Tottenham district: Tottenham,Haringey
N18,LONDON,"Upper Edmonton district: Upper Edmonton, Edmonton (part)",Enfield
N19,LONDON,"Upper Holloway district: Upper Holloway, Archway, Tufnell Park (part)","Islington, Camden"
N20,LONDON,"Whetstone district: Whetstone, Totteridge, Oakleigh Park",Barnet
N21,LONDON,"Winchmore Hill district: Winchmore Hill, Bush Hill (part), Grange Park, World's End (part)",Enfield
N22,LONDON,"Wood Green district: Wood Green, Bounds Green (part), Bowes Park","Haringey, Enfield"
N81,LONDON,Electoral Reform Services,non-geographic
